name,category,image_url,date_sold_item,median_price_sold_item,count_sold_item
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-08,251.419,686
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-09,253.384,551
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-10,255.679,458
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-11,248.873,257
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-12,254.367,406
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-13,251.165,252
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-14,254.709,269
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-15,248.365,279
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-16,244.365,336
Antwerp 2022 Ancient Souvenir Package,Сувенирный набор ,https://community.akamai.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsUlNgMgFFpuj1eVVfw-HHfDJ96NmJlY6InvL6J_XTkzJVv8Ej2b-TotSi2FDl-ktlYDj3cNKdIwM5MFjW-QLrku7o15a_ot2XnmfHjbR9/360fx360f,2022-06-17,238.566,314
